127.0.0.1 - - [12/May/2025:08:00:37 +0700] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [12/May/2025:08:00:38 +0700] "GET /ThiTrucTuyen/formdangnhap.jsp HTTP/1.1" 200 407
0:0:0:0:0:0:0:1 - - [12/May/2025:08:00:48 +0700] "POST /ThiTrucTuyen/login HTTP/1.1" 200 604
0:0:0:0:0:0:0:1 - - [12/May/2025:08:00:53 +0700] "GET /ThiTrucTuyen/loadStudent HTTP/1.1" 200 1474
0:0:0:0:0:0:0:1 - - [12/May/2025:08:00:57 +0700] "GET /ThiTrucTuyen/loadExam HTTP/1.1" 200 1008
0:0:0:0:0:0:0:1 - - [12/May/2025:08:00:59 +0700] "GET /ThiTrucTuyen/loadOutcome HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [12/May/2025:08:01:22 +0700] "GET /ThiTrucTuyen/TeacherHomePage.jsp HTTP/1.1" 200 604
0:0:0:0:0:0:0:1 - - [12/May/2025:08:01:26 +0700] "GET /ThiTrucTuyen/TeacherHomePage.jsp HTTP/1.1" 200 604
0:0:0:0:0:0:0:1 - - [12/May/2025:08:48:24 +0700] "POST /ThiTrucTuyen/login HTTP/1.1" 200 445
0:0:0:0:0:0:0:1 - - [12/May/2025:08:48:29 +0700] "GET /ThiTrucTuyen/loadExamHS HTTP/1.1" 200 948
0:0:0:0:0:0:0:1 - - [12/May/2025:08:48:40 +0700] "GET /ThiTrucTuyen/loadQuestionHS?madt=1 HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [12/May/2025:08:49:10 +0700] "GET /ThiTrucTuyen/StudentHomePage.jsp HTTP/1.1" 200 445
0:0:0:0:0:0:0:1 - - [12/May/2025:08:49:12 +0700] "GET /ThiTrucTuyen/loadExamHS HTTP/1.1" 200 948
0:0:0:0:0:0:0:1 - - [12/May/2025:10:26:06 +0700] "GET /ThiTrucTuyen/StudentHomePage.jsp HTTP/1.1" 200 402
0:0:0:0:0:0:0:1 - - [12/May/2025:10:26:19 +0700] "GET /ThiTrucTuyen/formdangnhap.jsp HTTP/1.1" 200 407
0:0:0:0:0:0:0:1 - - [12/May/2025:10:26:19 +0700] "GET /favicon.ico HTTP/1.1" 404 685
0:0:0:0:0:0:0:1 - - [12/May/2025:10:40:12 +0700] "POST /ThiTrucTuyen/login HTTP/1.1" 200 604
0:0:0:0:0:0:0:1 - - [12/May/2025:10:40:21 +0700] "GET /ThiTrucTuyen/loadStudent HTTP/1.1" 200 1474
0:0:0:0:0:0:0:1 - - [12/May/2025:10:40:25 +0700] "GET /ThiTrucTuyen/loadExam HTTP/1.1" 200 1008
0:0:0:0:0:0:0:1 - - [12/May/2025:10:40:29 +0700] "GET /ThiTrucTuyen/updateExam?madt=3 HTTP/1.1" 200 608
0:0:0:0:0:0:0:1 - - [12/May/2025:10:40:32 +0700] "POST /ThiTrucTuyen/updateExam HTTP/1.1" 200 1008
0:0:0:0:0:0:0:1 - - [12/May/2025:10:40:34 +0700] "GET /ThiTrucTuyen/loadQuestion?madt=3 HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [12/May/2025:10:40:37 +0700] "GET /ThiTrucTuyen/loadExam HTTP/1.1" 200 1008
0:0:0:0:0:0:0:1 - - [12/May/2025:10:40:47 +0700] "GET /ThiTrucTuyen/loadOutcome HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [12/May/2025:10:40:54 +0700] "GET /ThiTrucTuyen/ThemDeThi.jsp HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [12/May/2025:10:41:01 +0700] "GET /ThiTrucTuyen/ThemDeThi.jsp HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [12/May/2025:10:41:25 +0700] "GET /ThiTrucTuyen/TeacherHomePage.jsp HTTP/1.1" 200 604
0:0:0:0:0:0:0:1 - - [12/May/2025:10:42:18 +0700] "GET /ThiTrucTuyen/loadStudent HTTP/1.1" 200 1474
0:0:0:0:0:0:0:1 - - [12/May/2025:10:42:20 +0700] "GET /ThiTrucTuyen/TeacherHomePage.jsp HTTP/1.1" 200 604
0:0:0:0:0:0:0:1 - - [12/May/2025:10:48:09 +0700] "POST /ThiTrucTuyen/login HTTP/1.1" 200 445
0:0:0:0:0:0:0:1 - - [12/May/2025:10:48:14 +0700] "GET /ThiTrucTuyen/loadExamHS HTTP/1.1" 200 948
0:0:0:0:0:0:0:1 - - [12/May/2025:10:48:20 +0700] "GET /ThiTrucTuyen/loadQuestionHS?madt=1 HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [12/May/2025:10:49:19 +0700] "POST /ThiTrucTuyen/check HTTP/1.1" 200 393
0:0:0:0:0:0:0:1 - - [12/May/2025:10:49:25 +0700] "GET /ThiTrucTuyen/loadExamHS HTTP/1.1" 200 948
0:0:0:0:0:0:0:1 - - [12/May/2025:10:49:32 +0700] "GET /ThiTrucTuyen/loadQuestionHS?madt=3 HTTP/1.1" 200 843
0:0:0:0:0:0:0:1 - - [12/May/2025:10:49:35 +0700] "POST /ThiTrucTuyen/check HTTP/1.1" 200 393
0:0:0:0:0:0:0:1 - - [12/May/2025:10:49:37 +0700] "GET /ThiTrucTuyen/StudentHomePage.jsp HTTP/1.1" 200 445
0:0:0:0:0:0:0:1 - - [12/May/2025:10:49:55 +0700] "GET /ThiTrucTuyen/loadExamHS HTTP/1.1" 200 948
